Code,Short Name(In Chinese),Short Name,Full Name,Web Site,
601518,吉林高速,JLEC,Jilin Expressway Company Ltd.,www.jlgsgl.com,
601519,大智慧,DZH,Shanghai DZH Limited,http://www.gw.com.cn/,
601555,东吴证券,SCS,"SOOCHOW SECURITIES CO.,LTD.",www.dwzq.com.cn,
601558,ST锐电,Sinovel,"Sinovel Wind Group Co.,Ltd.",www.sinovel.com,
601566,九牧王,JOEONE,"JOEONE CO.,LTD.",www.jiumuwang.com,
601567,三星医疗,SANXING MEDICAL,"NINGBO SANXING MEDICAL ELECTRIC Co.,Ltd.",www.sanxing.com,
601577,长沙银行,BANK OF CHANGSHA,"BANK OF CHANGSHA CO.,TD.",http://www.bankofchangsha.com,
601579,会稽山,-,"kuaijishan shaoxing wine co.,ltd.",www.kuaijishanwine.com,
601588,北辰实业,BEIJING N STAR,BEIJING NORTH STAR COMPANY LIMITED,www.beijingns.com.cn,
601595,上海电影,SFC,shanghai film corporation,www.sh-sfc.com,
601598,中国外运,SINOTRANS,Sinotrans Limited,www.sinotrans.com,
601599,鹿港文化,LGWH,"Jiangsu Lugang Culture Co., Ltd",www.lugangwool.com,
601600,中国铝业,CHALCO,ALUMINUM CORPORATION OF CHINA LIMITED,www.chalco.com.cn,
601601,中国太保,CPIC,"China Pacific Insurance (Group) Co., Ltd.",www.cpic.com.cn,
601606,长城军工,GreatWall Military Industry ,"Anhui GreatWall Military Industry Co., Ltd",www.ahccjg.com.cn,
601607,上海医药,Shanghai Pharma,"Shanghai Pharmaceuticals Holding Co., Ltd.",http://www.sphchina.com,
601608,中信重工,CITIC HIC,"CITIC HEAVY INDUSTRIES CO.,LTD.",www.citichmc.com,
601611,中国核建,CNEC,CHINA NUCLEAR ENGINEERING CORPORATION LIMITED,http://www.cnecc.com,
601615,明阳智能,Ming Yang Smart Energy,Ming Yang Smart Energy Group Limited,http://www.mywind.com.cn,
601616,广电电气,SGEG,"SHANGHAI GUANGDIAN ELECTRIC GROUP CO., LTD",www.sgeg.cn,
601618,中国中冶,MCC,Metallurgical Corporation of China Ltd.,www.mccchina.com,
601619,嘉泽新能,Jiaze Renewables ,Ningxia Jiaze Renewables Corporation Limited,http://www.jzne.net.cn/ ,
601628,中国人寿,China Life,CHINA LIFE INSURANCE COMPANY LIMITED,www.e-chinalife.com,
601633,长城汽车,Great Wall Motor,Great Wall Motor Company Limited,www.gwm.com.cn,
601636,旗滨集团,Kibing,"Zhuzhou Kibing Group Co., Ltd",http://www.kibing-glass.com,
601666,平煤股份,pingmei coal,"PINGDINGSHAN TIANAN COAL MINING CO., LTD.",www.pmta.com.cn,
601668,中国建筑,CSCEC,China State Construction Engineering Corporation Limited,http://www.cscec.com,
601669,中国电建,POWERCHINA Ltd.,"Power Construction Corporation of China,Ltd.（POWERCHINA Ltd.）",www.powerchina.cn,
601677,明泰铝业,Mtalco,"Henan Mingtai Al. Industrial Co.,Ltd.",www.hngymt.com,
601678,滨化股份,BEFAR,"BEFAR GROUP CO.,LTD",www.befar.com.cn,
601688,华泰证券,HTSC,"HUATAI SECURITIES CO.,LTD",www.htsc.com.cn,
601689,拓普集团,-,"Ningbo Tuopu Group Co.,Ltd.",www.tuopu.com,
601699,潞安环能,lu'an EED,"Shanxi Lu’an Environmental Energy Development Co.,Ltd.",http://www.luanhn.com,
601700,风范股份,CHANGSHU FENGFAN,"CHANGSHU FENGFAN POWER EQUIPMENT CO.,LTD",www.cstower.cn,
601717,郑煤机,ZMJ,"ZHENGZHOU COAL MINING MACHINERY GROUP Co.,Ltd",www.zzmj.com,
601718,际华集团,Jihua Group,Jihua Group Corporation Limited,www.jihuachina.com,
601727,上海电气,Shanghai Electric,Shanghai Electric Group Company Limited,www.shanghai-electric.com,
601766,中国中车,CRRC,CRRC Corporation Limited,www.crrcgc.cc,
601777,力帆股份,LIFAN,"LIFAN INDUSTRY (GROUP) Co., Ltd",www.lifan.com,
601788,光大证券,EBSCN,Everbright Securities Company Limited,http://www.ebscn.com,
601789,宁波建工,NB CONSTRUCTION,"Ningbo Construction Co., Ltd",http://www.jiangong.com.cn/,
601798,*ST蓝科,Lanpec,Lanpec Technologies Limited,www.lanpec.com,
601799,星宇股份,"Xingyu Co.,Ltd","Changzhou Xingyu Automotive Lighting Systems Co., Ltd",http://www.xyl.cn,
601800,中国交建,CCCC,"China Communications Construction Co.,Ltd",www.ccccltd.cn,
